time,animal
00:00:00-00:00:00,water_deer
00:00:02-00:00:02,water_deer
00:00:04-00:00:04,water_deer
00:00:06-00:00:06,water_deer
00:00:08-00:00:08,water_deer
00:00:12-00:00:13,water_deer
00:00:15-00:00:18,water_deer
00:00:21-00:00:25,water_deer
00:00:28-00:00:28,water_deer
00:00:34-00:00:34,water_deer
00:00:38-00:00:39,water_deer
00:00:44-00:00:45,water_deer
00:00:48-00:00:49,water_deer
00:00:56-00:00:57,water_deer
00:01:01-00:01:01,water_deer
00:01:10-00:01:10,water_deer
00:01:12-00:01:12,water_deer
00:01:14-00:01:14,water_deer
00:01:16-00:01:19,water_deer
00:01:21-00:01:28,water_deer
00:01:30-00:01:42,water_deer
00:01:44-00:01:48,water_deer
00:01:51-00:01:54,water_deer
00:01:56-00:02:07,water_deer
00:02:09-00:02:14,water_deer
00:02:16-00:02:24,water_deer
00:02:26-00:02:31,water_deer
00:02:33-00:02:34,water_deer
00:02:36-00:02:37,water_deer
00:02:39-00:02:39,water_deer
00:02:41-00:02:41,water_deer
00:02:47-00:02:47,water_deer
00:02:51-00:02:53,water_deer
00:02:58-00:03:14,water_deer
00:03:16-00:03:20,water_deer
00:03:23-00:03:31,water_deer
00:03:34-00:03:34,water_deer
00:03:36-00:03:38,water_deer
00:03:40-00:04:01,water_deer
00:04:03-00:04:06,water_deer
00:04:09-00:04:09,water_deer
00:04:13-00:04:13,water_deer
00:04:15-00:04:16,water_deer
00:04:18-00:04:20,water_deer
00:04:22-00:04:22,water_deer
00:04:25-00:05:49,water_deer
00:05:51-00:05:51,water_deer
00:05:58-00:05:58,water_deer
00:06:00-00:06:00,water_deer
00:06:06-00:06:09,water_deer
00:06:12-00:06:12,water_deer
00:06:19-00:06:19,water_deer
00:06:24-00:06:24,water_deer
00:06:29-00:06:32,water_deer
00:07:21-00:07:33,water_deer
00:07:35-00:07:35,water_deer
00:07:40-00:07:41,water_deer
00:07:45-00:07:48,water_deer
00:07:50-00:07:51,water_deer
00:07:53-00:07:55,water_deer
00:07:57-00:07:58,water_deer
00:08:00-00:08:00,water_deer
00:08:03-00:08:03,water_deer
00:08:06-00:08:06,water_deer
00:08:08-00:08:08,water_deer
00:08:10-00:08:10,water_deer
00:08:12-00:08:12,water_deer
00:08:14-00:08:19,water_deer
00:08:23-00:08:24,water_deer
00:08:26-00:08:32,water_deer
00:08:35-00:08:39,water_deer
00:08:41-00:08:42,water_deer
00:08:45-00:08:45,water_deer
00:08:47-00:08:48,water_deer
00:08:51-00:08:58,water_deer
00:09:00-00:09:01,water_deer
00:09:04-00:09:08,water_deer
00:09:10-00:09:16,water_deer
00:09:18-00:09:20,water_deer
00:09:22-00:09:22,water_deer
00:09:24-00:09:31,water_deer
00:09:34-00:11:31,water_deer
00:11:33-00:11:37,water_deer
00:11:39-00:11:39,water_deer
00:11:41-00:11:44,water_deer
00:11:47-00:12:00,water_deer
